,Unnamed: 0,lfw_image,lfw_embedding,lfw_image_pemiu,lfw_embedding_pemiu,lfw_filename_raw,gender_official,gender_insightface,gender_insightface_pemiu,img_original_quality
0,0,../data/lfw_align/Aaron_Eckhart/Aaron_Eckhart_0001.png,../data/features_cleaner/Aaron_Eckhart_0001.npy,./sample_images_lfw_pemiu/Aaron_Eckhart_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Eckhart_0001.npy,Aaron_Eckhart_0001.png,M,M,F,0.7851881734464756
1,1,../data/lfw_align/Aaron_Guiel/Aaron_Guiel_0001.png,../data/features_cleaner/Aaron_Guiel_0001.npy,./sample_images_lfw_pemiu/Aaron_Guiel_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Guiel_0001.npy,Aaron_Guiel_0001.png,M,M,F,0.764813630660907
2,2,../data/lfw_align/Aaron_Patterson/Aaron_Patterson_0001.png,../data/features_cleaner/Aaron_Patterson_0001.npy,./sample_images_lfw_pemiu/Aaron_Patterson_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Patterson_0001.npy,Aaron_Patterson_0001.png,M,M,F,0.7371929870854296
3,3,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0001.png,../data/features_cleaner/Aaron_Peirsol_0001.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0001.npy,Aaron_Peirsol_0001.png,M,M,M,0.7889441037132346
4,4,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0002.png,../data/features_cleaner/Aaron_Peirsol_0002.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0002_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0002.npy,Aaron_Peirsol_0002.png,M,M,M,0.7825360572186767
5,5,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0003.png,../data/features_cleaner/Aaron_Peirsol_0003.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0003_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0003.npy,Aaron_Peirsol_0003.png,M,M,M,0.8041627351261519
6,6,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0004.png,../data/features_cleaner/Aaron_Peirsol_0004.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0004_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0004.npy,Aaron_Peirsol_0004.png,M,M,F,0.8102056507122847
7,7,../data/lfw_align/Aaron_Pena/Aaron_Pena_0001.png,../data/features_cleaner/Aaron_Pena_0001.npy,./sample_images_lfw_pemiu/Aaron_Pena_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Pena_0001.npy,Aaron_Pena_0001.png,M,M,F,0.8290478570362799
8,8,../data/lfw_align/Aaron_Sorkin/Aaron_Sorkin_0001.png,../data/features_cleaner/Aaron_Sorkin_0001.npy,./sample_images_lfw_pemiu/Aaron_Sorkin_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Sorkin_0001.npy,Aaron_Sorkin_0001.png,M,M,M,0.8476233888325604
9,9,../data/lfw_align/Aaron_Sorkin/Aaron_Sorkin_0002.png,../data/features_cleaner/Aaron_Sorkin_0002.npy,./sample_images_lfw_pemiu/Aaron_Sorkin_0002_pemiu.png,../data/features_cleaner_pemiu/Aaron_Sorkin_0002.npy,Aaron_Sorkin_0002.png,M,M,M,0.8777351257091724
