a_img,a_embedding,a_embedding_pemiu,a_embedding_pemiu_reconstructed,b_img,b_embedding,b_embedding_pemiu,b_embedding_pemiu_reconstructed,genuine,cos_dist_real,cos_dist_target_a_real_vs_target_a_pemiu,cos_dist_target_a_pemiu_vs_target_b_real,cos_dist_target_a_real_vs_target_a_pemiu_reconstructed,cos_dist_real_normalized,cos_dist_target_a_real_vs_target_a_pemiu_normalized,cos_dist_target_a_pemiu_vs_target_b_real_normalized,cos_dist_target_a_real_vs_target_a_pemiu_reconstructed_normalized
../data/lfw/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.jpg,../data/features_cleaner/Abdel_Madi_Shabneh_0001.npy,../data/lfw_embeddings_pemiu/Abdel_Madi_Shabneh_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Abdel_Madi_Shabneh_0001.npy,../data/lfw/Dean_Barker/Dean_Barker_0001.jpg,../data/features_cleaner/Dean_Barker_0001.npy,../data/lfw_embeddings_pemiu/Dean_Barker_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Dean_Barker_0001.npy,False,0.017006369252714218,0.00701365754978091,0.05222259060337749,0.25290478086639034,0.20804478032170765,0.32410074564844854,0.4181438020186824,0.3655232047078982
../data/lfw/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.jpg,../data/features_cleaner/Abdel_Madi_Shabneh_0001.npy,../data/lfw_embeddings_pemiu/Abdel_Madi_Shabneh_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Abdel_Madi_Shabneh_0001.npy,../data/lfw/Giancarlo_Fisichella/Giancarlo_Fisichella_0001.jpg,../data/features_cleaner/Giancarlo_Fisichella_0001.npy,../data/lfw_embeddings_pemiu/Giancarlo_Fisichella_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Giancarlo_Fisichella_0001.npy,False,-0.05539997648129164,0.00701365754978091,0.014894238587760563,0.25290478086639034,0.14806251422795197,0.32410074564844854,0.341281350902618,0.3655232047078982
../data/lfw/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.jpg,../data/features_cleaner/Abdel_Madi_Shabneh_0001.npy,../data/lfw_embeddings_pemiu/Abdel_Madi_Shabneh_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Abdel_Madi_Shabneh_0001.npy,../data/lfw/Mikhail_Gorbachev/Mikhail_Gorbachev_0001.jpg,../data/features_cleaner/Mikhail_Gorbachev_0001.npy,../data/lfw_embeddings_pemiu/Mikhail_Gorbachev_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Mikhail_Gorbachev_0001.npy,False,-0.13129361451137814,0.00701365754978091,0.012559718104694665,0.25290478086639034,0.0851913342920498,0.32410074564844854,0.336474362197785,0.3655232047078982
../data/lfw/Abdul_Rahman/Abdul_Rahman_0001.jpg,../data/features_cleaner/Abdul_Rahman_0001.npy,../data/lfw_embeddings_pemiu/Abdul_Rahman_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Abdul_Rahman_0001.npy,../data/lfw/Portia_de_Rossi/Portia_de_Rossi_0001.jpg,../data/features_cleaner/Portia_de_Rossi_0001.npy,../data/lfw_embeddings_pemiu/Portia_de_Rossi_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Portia_de_Rossi_0001.npy,False,-0.03658491975772366,0.03763408963510488,0.04675983052395612,0.2250856755324563,0.16364912790830685,0.38276136664488924,0.40689548520609853,0.34189759936586844
../data/lfw/Abel_Pacheco/Abel_Pacheco_0001.jpg,../data/features_cleaner/Abel_Pacheco_0001.npy,../data/lfw_embeddings_pemiu/Abel_Pacheco_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Abel_Pacheco_0001.npy,../data/lfw/Jong_Thae_Hwa/Jong_Thae_Hwa_0002.jpg,../data/features_cleaner/Jong_Thae_Hwa_0002.npy,../data/lfw_embeddings_pemiu/Jong_Thae_Hwa_0002.npy,../data/lfw_embeddings_pemiu_reconstructed/Jong_Thae_Hwa_0002.npy,False,0.061228585241855836,0.04826347225650359,0.012875746037575964,0.1361898982698808,0.24467898275005162,0.403124442634234,0.33712509227909787,0.2664021251236856
../data/lfw/Abel_Pacheco/Abel_Pacheco_0002.jpg,../data/features_cleaner/Abel_Pacheco_0002.npy,../data/lfw_embeddings_pemiu/Abel_Pacheco_0002.npy,../data/lfw_embeddings_pemiu_reconstructed/Abel_Pacheco_0002.npy,../data/lfw/Jean-Francois_Lemounier/Jean-Francois_Lemounier_0001.jpg,../data/features_cleaner/Jean-Francois_Lemounier_0001.npy,../data/lfw_embeddings_pemiu/Jean-Francois_Lemounier_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Jean-Francois_Lemounier_0001.npy,False,-0.11579797663221665,-0.02310582598741747,0.009017780014114109,-0.021725719772266852,0.09802810246669087,0.26639980911493205,0.32918119149393293,0.13229098012379387
../data/lfw/Afton_Smith/Afton_Smith_0001.jpg,../data/features_cleaner/Afton_Smith_0001.npy,../data/lfw_embeddings_pemiu/Afton_Smith_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Afton_Smith_0001.npy,../data/lfw/Dwayne_Wade/Dwayne_Wade_0001.jpg,../data/features_cleaner/Dwayne_Wade_0001.npy,../data/lfw_embeddings_pemiu/Dwayne_Wade_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Dwayne_Wade_0001.npy,False,0.06698053761532556,0.0476850029061487,0.024904541508492126,0.2118436604712425,0.24944396756355855,0.4020162488888071,0.36189346950297385,0.33065170852883163
../data/lfw/Ahmad_Jbarah/Ahmad_Jbarah_0001.jpg,../data/features_cleaner/Ahmad_Jbarah_0001.npy,../data/lfw_embeddings_pemiu/Ahmad_Jbarah_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Ahmad_Jbarah_0001.npy,../data/lfw/James_Comey/James_Comey_0001.jpg,../data/features_cleaner/James_Comey_0001.npy,../data/lfw_embeddings_pemiu/James_Comey_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/James_Comey_0001.npy,False,-0.18892980499019552,0.21130946872288828,-0.014390176814063769,0.10243908725497869,0.037444838057712815,0.7154772983042788,0.2809820924102111,0.23773896966128294
../data/lfw/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,../data/features_cleaner/Akhmed_Zakayev_0002.npy,../data/lfw_embeddings_pemiu/Akhmed_Zakayev_0002.npy,../data/lfw_embeddings_pemiu_reconstructed/Akhmed_Zakayev_0002.npy,../data/lfw/Donna_Morrissey/Donna_Morrissey_0001.jpg,../data/features_cleaner/Donna_Morrissey_0001.npy,../data/lfw_embeddings_pemiu/Donna_Morrissey_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Donna_Morrissey_0001.npy,False,-0.08395471957393173,0.17434753002147405,-0.013860518127386019,0.06753660166942022,0.1244074301181464,0.6446680337120742,0.2820727075248547,0.20809774504237186
../data/lfw/Alan_Dershowitz/Alan_Dershowitz_0001.jpg,../data/features_cleaner/Alan_Dershowitz_0001.npy,../data/lfw_embeddings_pemiu/Alan_Dershowitz_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Alan_Dershowitz_0001.npy,../data/lfw/Bertrand_Bonello/Bertrand_Bonello_0001.jpg,../data/features_cleaner/Bertrand_Bonello_0001.npy,../data/lfw_embeddings_pemiu/Bertrand_Bonello_0001.npy,../data/lfw_embeddings_pemiu_reconstructed/Bertrand_Bonello_0001.npy,False,0.1142062086906428,-0.05272492308155472,0.03481226259838909,0.06592289845920578,0.288566267414212,0.209657480200223,0.3822943628407029,0.20672729424152644
